model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
LongSafari/evo-1-8k-crispr,-1.0155332,-1.6726239,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p8_ee36_auto_euc,8,36,auto,euclidean,pca
LongSafari/evo-1-8k-transposon,-1.4459414,-1.6978953,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p8_ee36_auto_euc,8,36,auto,euclidean,pca
zhihan1996/DNABERT-2-117M,-10.699023,-9.400184,V_d,tsne,DNABERT-2,mlm_or_encoder,zhihan1996,0.8127822928989513,p8_ee36_auto_euc,8,36,auto,euclidean,pca
zhihan1996/DNABERT-S,-16.465458,-29.689203,V_d,tsne,DNABERT-S,mlm_or_encoder,zhihan1996,0.8142663811505192,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/moderngena-base,1.6605651,1.7393824,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.856891141667942,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/moderngena-large,1.2411761,14.794221,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.8411760746474787,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-lastln-t2t,-1.2495447,10.620363,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8804501385629268,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t,-2.1123729,9.960722,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.875354209820089,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base,-2.3272538,6.9530864,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.876633315294654,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t-multi,-0.53174186,9.993817,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8818294243347937,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-large-t2t,-1.9975436,11.465436,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8802055036982036,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bigbird-base-t2t,-0.28046152,11.58865,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8564414615903444,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-fly,1.7601218,18.529987,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8798749389495737,p8_ee36_auto_euc,8,36,auto,euclidean,pca
